Effect Name,Effect ID,Description,Moves,Purposes/Thoughts
Can be used while Sealed,cbuws,Can be used while Sealed,"Basic Attack,Thwack",
Passive,passive,,"Backstep,Rising Hope,Ironclad,Enpointe,Qi Force,Adrenaline,Hunter's Mark,Sniper's Focus,Bound Bow,Storm Cycle,Hawkeye,Far Side of the Moon,Lunar Phase,Psychic Overlord,Crimson Pact,Black Magic,Total Depravity,Immortal Coil,Quietus,Triumvirate,Hastiliarius,Adaptive,Paragon,Aikido,Bloodlust,Vindictive,Swing Cycle,Stonemason,Heavy Weapon,Plate Crusher,Right to Rule",
Reaction,react,,"Attack of Opportunity,Staccato,Mantrap,Aegis,Rewind,Superposition,Card Counter,Foresight,Defiance,Figure 8 ,Aftershock,Coronation",
Accuracy Modifier,acc_mod,"+ACC, +CR","Rising Hope,Fantasia,Staccato,Superposition,Time's Edge,Outmaneuveur,Long Shot,Jump Shot,Hawkeye,Windmill,Overdraw,Jackpot,Augur,Dawn Break,Prophecy,Fateweave,Psychic Overlord,Black Magic,Quietus,Left-Hand Path,Sacrificial Lamb,Iberian Steel,Invigorate,Weapon Crash,Grave of Titans,Hardwood Slam,Calamitous Trance,Reversal,Power Swing,Sever,Wrath,Elastic Collision,Right to Rule",
Damaging Status,dmg_status,"Bleed, Burn, Poison, Curse","Dissonance,Tinker's Dam,Cursed Bolts,Serrated Arrows,Fireworks,Venom Shot,Roulette,Blood Moon,Eventide,Defile,Pestilent Strike,Blasphemy,Effigial Pyre,Hardwood Slam,Gash,Two Handed,Catapult Campaign",
DEF Ignore,def_ign,,"Dissonance,Soulstep,Conversion,Time's Edge,Pierce,Quick Scope,Gamble,Phalanx,Grave of Titans,Martial Mastery,Figure 8 ,Reversal,Lagging Spin,Plate Crusher,Kip Up",
Outside Damage Factors Ignored,exdmg_ign,,"Dissonance,Soulstep,Time's Edge,Quick Scope,Fateweave,Phalanx,Defiance,Kip Up",
Damage Modifier,dmg_mod,"+A, +DMG, +dice but NOT +dice faces","Primadonna,Fantasia,Smokescreen,Qi Force,Eightfold Shield,Dissonance,Staccato,Ironclad,Mantrap,Reforge,Mending Mantel,Conversion,Nirvana,Pavise,Aegis,Oath of Mercy,Rewind,Time's Edge,Hunter's Mark,Bolt Compaction,Shadow Quiver,Bound Bow,Long Shot,Chase Arrow,Storm Cycle,Lightning Draw,Blitz,Splinter,Trick Shot,Card Flip,Gamble,Blackjack,Jackpot,Slots Spin,Augur,Echo Burst,Prophecy,Psychic Overlord,Crimson Pact,Bloodrush,Black Magic,Oblation,Bloodbind,Haunted Swing,Coup de Grace,Spirit Break,Stroke of Midnight,Quietus,Totem of Blood,Left-Hand Path,Totem of Bone,Totem of Soul,Sacrificial Lamb,Triumvirate,Disengage,Forward Jab,Shield Wall,Iberian Steel,Invigorate,Thwack,Grave of Titans,Inertial Shift,Hardwood Slam,Exploit Feign,Calamitous Trance,Paragon,Disarm,Wear Down,Aikido,Wrath,Amped Strike,Cyclone Sweep,Crush,Lagging Spin,Discipline,Kinetic Impact,Right to Rule,Bastion,Ambush,Entrench","for shit that affects the attack's damage, be it offensive or defensive. Currently include both outside (+DMG) and inside (+DEF/+A) damage factors, which definitely will need to be split up at some point"
Conditional,conditional,Have an additional condition but isn't a reaction i.e Primadonna,"Backstep,Primadonna,Staccato,Ironclad,Smokescreen,Mending Mantel,First Aid,Martyrdom,Vestments,Pas De Deux,Qi Force,Dissonance,Pavise,Impasse,Outmaneuveur,Arrow Flurry,Cursed Bolts,Pierce,Quick Scope,Explosive Shot,Tornado Bolt,Serrated Arrows,Quiver of Thunder,Bound Bow,Long Shot,Crippling Shot,Sniper's Focus,Jump Shot,Volley,Fireworks,Snipe,Storm Cycle,Lightning Draw,Blitz,Windmill,Hook Shot,Trick Shot,Venom Shot,Sagittarian Pride,Shrapnel Tip,Overdraw,Card Flip,Discard,Roulette,Gamble,Blackjack,Craps,Jackpot,Slots Spin,Holy Light,Lunar Shift,Harvest Moon,Double Tide,Blood Moon,Gravity Crash,Fatal Moonlight,Astral Touch,Prophecy,Fateweave,Crimson Pact,Bloodrush,Defile,Sanctified Blade,Pentagram,Black Magic,Massacre,Exsanguinate,Total Depravity,Reaper's Touch,Haunted Swing,Wither Soul,Pestilent Strike,Coup de Grace,Phantasmal Shield,Void's Call,Left-Hand Path,Heredity,Totem of Soul,Blasphemy,Sacrificial Lamb,Egregore,Disengage,Exercitus,Forward Jab,Phalanx,Shield Wall,Deus Vult,Invigorate,Weapon Crash,Impede,Thwack,Grave of Titans,Inertial Shift,Adaptive,Hardwood Slam,Exploit Feign,Stance Breaker,Calamitous Trance,Paragon,Spurn,Reversal,Wear Down,Yin Yang,Standoff,Dazing Hook,Hold Over,Aikido,Bloodlust,Vindictive,Cyclone Sweep,Crush,Lagging Spin,Gravity Well,Razor Rust,Heavy Weapon,Tomahawk Toss,Plate Crusher,Repulse Slice,Continental Crash,Discipline,Kinetic Impact,Two Handed,Elastic Collision,Fleet Footwork,Line Out,Right to Rule,Besiege,Bastion,Catapult Campaign,Ambush,Entrench",
Choice,choice,Involves user's decision i.e Fantasia,"Basic Attack,Attack of Opportunity,Fantasia,Reforge,First Aid,Vestments,Tinker's Dam,Eightfold Shield,Conversion,Nirvana,Bolt Arsenal,Chase Arrow,Hawkeye,Hook Shot,Augur,Eventide,Echo Burst,Corruption,Foresight,Dawn Break,Oracle,Prophecy,Fateweave,Exploit Feign,Hold Over,Yin Yang,Tempest Sweep,Wrath,Knockback,Earth Render,Gravity Well,Kip Up,Fleet Footwork,Besiege,Bastion",
